transaction_id,item,total_spent,transaction_date,payment_method,location,price_per_unit,quantity,_s5_reason,_strict_reason
TXN_4271903,Cookie,S5_REVIEW_REQUIRED,2023-07-19,Credit Card,In-store,1.0,4.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_2602893,Smoothie,20.0,2023-03-31,Credit Card,,4.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_4433211,,9.0,2023-10-06,Unknown,Takeaway,3.0,3.0,MISSING_ITEM,STRICT_NULL_REMOVAL
TXN_4717867,,15.0,2023-07-28,,Takeaway,3.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2064365,Sandwich,20.0,2023-12-31,,In-store,4.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3051279,Sandwich,8.0,,Credit Card,Takeaway,4.0,2.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_9437049,Cookie,5.0,2023-06-01,,Takeaway,1.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8915701,,3.0,2023-03-21,,In-store,1.5,2.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_3765707,Sandwich,4.0,2023-06-10,,,4.0,1.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2616390,Sandwich,8.0,2023-09-18,,,4.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7958992,Smoothie,,2023-12-13,Unknown,Unknown,4.0,3.0,CURRENCY_FORENSIC,SCHEMA_VIOLATION
TXN_8467949,Smoothie,20.0,2023-03-11,Credit Card,,4.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_7640952,Cake,12.0,,Digital Wallet,Takeaway,3.0,4.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_1736287,,10.0,2023-06-02,Digital Wallet,,2.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8927252,,S5_REVIEW_REQUIRED,2023-11-06,Credit Card,Unknown,1.0,2.0,MISSING_ITEM,SCHEMA_VIOLATION
TXN_9677376,Smoothie,16.0,2023-08-15,,In-store,4.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7710508,,5.0,,Cash,,1.0,5.0,MISSING_DATE,STRICT_NULL_REMOVAL
TXN_6855453,,12.0,2023-07-17,,In-store,3.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2655815,Smoothie,16.0,2023-06-08,,Takeaway,4.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6688524,Coffee,8.0,2023-06-29,Unknown,,2.0,4.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_2083138,Smoothie,12.0,2023-04-17,,In-store,4.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_2427584,Sandwich,16.0,2023-12-22,,Takeaway,4.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_6650263,Tea,S5_REVIEW_REQUIRED,2023-01-10,,Takeaway,1.5,2.0,MISSING_PAYMENT,SCHEMA_VIOLATION
TXN_9620080,Juice,12.0,2023-10-02,,Takeaway,3.0,4.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_1491578,Cookie,2.0,2023-02-23,,,1.0,2.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_5455792,Salad,15.0,2023-03-22,Cash,,5.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_9499313,Juice,15.0,2023-03-02,,,3.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8201146,Juice,15.0,2023-06-26,Cash,,3.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_8230936,Cake,9.0,2023-05-02,,Unknown,3.0,3.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_7742742,Cake,15.0,2023-09-05,,Takeaway,3.0,5.0,MISSING_PAYMENT,STRICT_NULL_REMOVAL
TXN_8914892,,25.0,2023-03-15,Digital Wallet,,5.0,5.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
TXN_3363746,Smoothie,12.0,2023-11-25,Credit Card,,4.0,3.0,MISSING_LOCATION,STRICT_NULL_REMOVAL
