order_id,sale_date,quantity,unit_price,category,payment_method,item_name,customer_zip
ORD-1000,,,99.99,,Card,USB Cable,Unknown
ORD-1001,,,19.99,Electronics,Cash,Mouse,90210
ORD-1002,2026-01-04,2.0,99.99,,Cash,Monitor,Unknown
ORD-1003,2026-01-05,1.0,99.99,,Cash,Headphones,Unknown
ORD-1004,2026-03-02,2.0,49.99,,Mobile,Monitor,Unknown
ORD-1005,,2.0,,Electronics,,Laptop,10001
ORD-1006,2026-02-04,3.0,99.99,,Mobile,Keyboard,90210
ORD-1007,2026-01-03,,99.99,Accessories,Cash,Mouse,Unknown
ORD-1008,,,29.99,Electronics,Mobile,Monitor,10001
ORD-1009,2026-02-23,2.0,,,,Mouse,Unknown
ORD-1010,2026-01-13,2.0,,Electronics,,USB Cable,Unknown
ORD-1012,,1.0,29.99,Accessories,,USB Cable,10001
ORD-1013,2026-02-06,,,Accessories,Cash,Headphones,90210
ORD-1014,,,19.99,Electronics,Card,Keyboard,90210
ORD-1016,,,49.99,Accessories,Mobile,Laptop,Unknown
ORD-1018,,,,Accessories,Cash,Laptop,90210
ORD-1019,2026-02-14,,19.99,Accessories,Card,Laptop,90210
ORD-1020,,,49.99,,Mobile,Mouse,10001
ORD-1021,2026-02-15,,99.99,,Card,Headphones,90210
ORD-1022,,,,Electronics,,Mouse,10001
ORD-1023,2026-02-21,3.0,49.99,Accessories,,USB Cable,Unknown
ORD-1024,,2.0,29.99,Electronics,,Mouse,90210
ORD-1025,2026-01-23,3.0,,,Card,Headphones,90210
ORD-1026,,,49.99,Electronics,Card,Laptop,10001
ORD-1027,,3.0,29.99,Electronics,Card,Mouse,Unknown
ORD-1029,,2.0,29.99,Accessories,Card,USB Cable,10001
ORD-1030,,,29.99,Electronics,Card,Mouse,Unknown
ORD-1031,,,,,Cash,Headphones,90210
ORD-1032,,2.0,49.99,Accessories,Mobile,Laptop,Unknown
ORD-1034,,3.0,49.99,Electronics,Mobile,USB Cable,Unknown
ORD-1035,,3.0,29.99,Electronics,,Headphones,Unknown
ORD-1036,2026-01-11,,99.99,Accessories,Card,Laptop,90210
ORD-1037,,2.0,,,,Monitor,Unknown
ORD-1038,,1.0,49.99,Electronics,Mobile,Laptop,10001
ORD-1039,2026-01-14,,,Accessories,,Keyboard,90210
ORD-1040,,3.0,49.99,,Cash,Mouse,10001
ORD-1041,,1.0,29.99,Accessories,Cash,Laptop,10001
,,3.0,,Electronics,,USB Cable,Unknown
ORD-1043,2026-01-19,,29.99,Electronics,,USB Cable,Unknown
ORD-1044,2026-02-26,,99.99,Accessories,Card,Laptop,90210
ORD-1045,2026-02-02,,99.99,Electronics,Card,Keyboard,10001
ORD-1046,,,19.99,Electronics,Cash,Monitor,Unknown
ORD-1048,2026-01-26,,99.99,Accessories,Card,Monitor,Unknown
ORD-1049,2026-02-06,,49.99,Accessories,,Laptop,90210
,2026-02-17,2.0,29.99,Electronics,Mobile,USB Cable,Unknown
,,3.0,19.99,Electronics,,Monitor,10001
ORD-1052,2026-02-20,2.0,49.99,Electronics,,Laptop,Unknown
ORD-1053,2026-01-14,,29.99,Electronics,Card,Laptop,Unknown
ORD-1054,2026-02-23,,49.99,Accessories,Cash,Keyboard,Unknown
ORD-1055,2026-01-10,3.0,19.99,,Card,Headphones,Unknown
ORD-1056,2026-02-01,,49.99,Electronics,Mobile,Monitor,10001
ORD-1057,,3.0,99.99,Electronics,Cash,Headphones,Unknown
ORD-1058,2026-01-09,,19.99,Electronics,,USB Cable,Unknown
ORD-1059,,,,Electronics,Card,Headphones,90210
ORD-1060,2026-01-20,,99.99,Accessories,Cash,Mouse,10001
ORD-1061,,,19.99,Electronics,Card,Laptop,Unknown
ORD-1063,2026-02-25,1.0,,Electronics,Card,Keyboard,90210
ORD-1064,2026-01-08,2.0,,Accessories,Mobile,Laptop,90210
ORD-1066,2026-01-14,,29.99,,,Monitor,Unknown
ORD-1067,,,99.99,Accessories,Card,USB Cable,Unknown
ORD-1068,2026-02-02,,19.99,,Card,Headphones,90210
ORD-1070,2026-01-23,,,,Card,Headphones,90210
ORD-1071,2026-01-20,,19.99,Accessories,Cash,Laptop,Unknown
ORD-1072,2026-02-08,,99.99,Accessories,Card,USB Cable,10001
ORD-1073,,3.0,99.99,,Card,Laptop,Unknown
,2026-01-22,1.0,19.99,Accessories,Card,Mouse,90210
ORD-1075,2026-02-08,2.0,,Accessories,Mobile,Keyboard,90210
ORD-1076,2026-01-04,3.0,49.99,,Card,Laptop,10001
ORD-1078,2026-02-12,3.0,29.99,Electronics,,Laptop,Unknown
ORD-1079,2026-02-05,,29.99,Electronics,,USB Cable,Unknown
ORD-1080,,,29.99,,Cash,Keyboard,Unknown
ORD-1081,,2.0,,Accessories,Card,Monitor,Unknown
ORD-1082,2026-02-22,2.0,,,,Monitor,90210
ORD-1083,,1.0,,Electronics,Mobile,USB Cable,Unknown
ORD-1084,,3.0,99.99,Accessories,Card,Headphones,90210
ORD-1085,2026-01-27,,29.99,Electronics,Card,Mouse,Unknown
ORD-1086,2026-02-13,,99.99,Accessories,Cash,Headphones,90210
ORD-1087,,2.0,,,,Mouse,Unknown
ORD-1088,2026-02-26,1.0,,Accessories,,Laptop,Unknown
ORD-1089,,1.0,,Electronics,Card,Headphones,Unknown
,2026-03-01,,99.99,Electronics,,Mouse,Unknown
